rank,id,smiles,fit_score,n_hits
21561,F1924-0544,Cl.Cl.N[C@@H]1CC[C@H]1c1cnn[nH]1,0.16205888944258517,1
21562,F0001-2175,O=C(O)C1CCCOC1,0.16205769478490548,2
21563,F1912-1531,Cc1cc(NC2CCNCC2)ncn1,0.16205739654949314,1
21564,F1913-3813,CNCc1cc(C(F)(F)F)no1,0.1620573275317841,2
21565,F3671-9650,C#CCCNC(=O)c1cccnc1C,0.16205262121551176,2
21566,F1967-4445,Oc1ccc(NCCc2ccc(Cl)cc2)nn1,0.16204115644274736,2
21567,F1922-1944,C=CCOCCC(Cl)c1ccccc1Cl,0.16204040082055493,2
21568,F0777-0572,Cc1ccc(NC(N)=S)cc1,0.1620398679113694,2
21569,F1913-8804,C=CC(N)CC.Cl,0.1620394204197123,1
21570,F1907-5303,COCCC1CCN(CC(=O)O)CC1,0.16203637553057873,2
21571,F2198-6781,Cn1nc(C2CCCCN2)c2c1CCC2,0.16203535045606543,1
21572,F2198-1513,BrCc1c(C2CC2)n[nH]c1C1CCOCC1,0.16203236308578173,1
21573,F1906-9768,Cc1ccnc(Cl)c1N=[N+]=[N-],0.1620323536812304,1
21574,F2198-3421,CC(C)c1[nH]nc(-c2ccco2)c1CCl,0.16203171194353155,1
21575,F2147-3591,O=C1CC(=O)CC2(CC2)C1,0.16203147876104876,2
21576,F1922-3480,C=CCOCCC(N)c1cnn(C)c1,0.16203116524253658,2
21577,F6217-0062,C#CCCNC(C)=O,0.16203048344724752,1
21578,F6619-1544,Cc1ccc(NCC2(O)CCOCC2)c(C)c1,0.16202951578173347,2
21579,F1907-4330,FC1(F)CN(c2cc(Cl)nc(C3CC3)n2)C1,0.16202071270974516,1
21580,F1904-9532,Clc1ccc(Br)cc1-c1cc(C2CCC2)[nH]n1,0.16201866534164816,1
21581,F2167-4488,NCc1cc(F)ccc1-c1cccnc1,0.1620176330596465,1
21582,F1909-9151,O=C(O)C1(Oc2ccccn2)CC1,0.1620113178077659,2
21583,F1913-6529,Cl.Cl.c1cnc2ncc(C3CCNC3)cc2c1,0.1620082698173264,1
21584,F1916-4256,Cc1cccc(Cc2[nH]ncc2C#N)c1,0.16200282535193541,1
21585,F1924-0458,O=C1CCC(=O)C2CCC12,0.16200271387410323,2
21586,F1908-2671,CCCCN(C)c1ccnc(F)c1,0.16200136861081915,1
21587,F2157-0819,Cc1cc(C)c(-n2cc(CO)nn2)c(C)c1,0.16200118662845592,1
21588,F2167-1974,CCCCC(N)c1cccc2ccccc12.Cl,0.1619958079576719,1
21589,F1911-1092,NCCCNc1cc(-c2cccs2)ncn1,0.1619950529661271,2
21590,F1967-5081,CCCCCCNc1cc(N)nc(C2CC2)n1,0.16199198781160087,2
21591,F1917-1063,Cc1nnc(CCCCO)n1CCN,0.1619918620730601,1
21592,F1919-9627,Cc1cccc(NC2CCNC2)c1C,0.16198245864546246,1
